phoneme,n_languages,freq,IDF
ɟː,7,0.003227293683725219,5.736111361771561
ɟ̟,3,0.0013831258644536654,6.583409222158765
ɟ̤,6,0.0027662517289073307,5.890262041598819
ɟ̤ʝ,16,0.007376671277086215,4.909432788587093
ɟ̥ʝ̥,1,4.610419548178884e-4,7.682021510826875
ɟ̰,2,9.220839096357768e-4,6.988874330266929
ɟ̰̩,1,4.610419548178884e-4,7.682021510826875
ɠ,15,0.006915629322268326,4.973971309724664
ɠɓ,4,0.0018441678192715537,6.295727149706984
ɠː,1,4.610419548178884e-4,7.682021510826875
ɡ,1226,0.5652374366067312,0.5705093943307177
ɡb,301,0.13877362840018442,1.9749112460779985
ɡbr,1,4.610419548178884e-4,7.682021510826875
ɡbɾ,1,4.610419548178884e-4,7.682021510826875
ɡbʲ,1,4.610419548178884e-4,7.682021510826875
ɡbʷ,2,9.220839096357768e-4,6.988874330266929
ɡbː,2,9.220839096357768e-4,6.988874330266929
ɡbˤ,1,4.610419548178884e-4,7.682021510826875
ɡm,1,4.610419548178884e-4,7.682021510826875
ɡv,2,9.220839096357768e-4,6.988874330266929
ɡǀ,5,0.002305209774089442,6.072583598392774
ɡǀkxʼ,1,4.610419548178884e-4,7.682021510826875
ɡǀkʰ,1,4.610419548178884e-4,7.682021510826875
ɡǀx,2,9.220839096357768e-4,6.988874330266929
ɡǀxʼ,1,4.610419548178884e-4,7.682021510826875
ɡǀʱ,1,4.610419548178884e-4,7.682021510826875
ɡǀ͓,2,9.220839096357768e-4,6.988874330266929
ɡǀ͓x,1,4.610419548178884e-4,7.682021510826875
ɡǁ,3,0.0013831258644536654,6.583409222158765
ɡǁkxʼ,1,4.610419548178884e-4,7.682021510826875
ɡǁkʰ,1,4.610419548178884e-4,7.682021510826875
ɡǁx,2,9.220839096357768e-4,6.988874330266929
ɡǁxʼ,1,4.610419548178884e-4,7.682021510826875
ɡǁ͓,1,4.610419548178884e-4,7.682021510826875
ɡǂ,3,0.0013831258644536654,6.583409222158765
ɡǂkxʼ,1,4.610419548178884e-4,7.682021510826875
ɡǂkʰ,1,4.610419548178884e-4,7.682021510826875
ɡǂx,2,9.220839096357768e-4,6.988874330266929
ɡǂ͓ˡ,1,4.610419548178884e-4,7.682021510826875
ɡǂ͓ˡx,1,4.610419548178884e-4,7.682021510826875
ɡǃ,5,0.002305209774089442,6.072583598392774
ɡǃkxʼ,1,4.610419548178884e-4,7.682021510826875
ɡǃkʰ,1,4.610419548178884e-4,7.682021510826875
ɡǃx,3,0.0013831258644536654,6.583409222158765
ɡǃxʼ,1,4.610419548178884e-4,7.682021510826875
ɡǃʱ,1,4.610419548178884e-4,7.682021510826875
ɡǃ̠,1,4.610419548178884e-4,7.682021510826875
ɡɓ,1,4.610419548178884e-4,7.682021510826875
ɡɣ,2,9.220839096357768e-4,6.988874330266929
ɡɦ,1,4.610419548178884e-4,7.682021510826875
ɡɾ,1,4.610419548178884e-4,7.682021510826875
ɡʘ,1,4.610419548178884e-4,7.682021510826875
ɡʘkxʼ,1,4.610419548178884e-4,7.682021510826875
ɡʘkʰ,1,4.610419548178884e-4,7.682021510826875
ɡʘx,1,4.610419548178884e-4,7.682021510826875
ɡʱ,32,0.01475334255417243,4.216285608027148
ɡʲ,58,0.026740433379437527,3.6215785002804552
ɡʲː,1,4.610419548178884e-4,7.682021510826875
ɡʷ,144,0.06639004149377593,2.7122082112508736
ɡʷʲ,2,9.220839096357768e-4,6.988874330266929
ɡʷː,1,4.610419548178884e-4,7.682021510826875
ɡʼ,2,9.220839096357768e-4,6.988874330266929
ɡʼkxʼ,1,4.610419548178884e-4,7.682021510826875
ɡː,32,0.01475334255417243,4.216285608027148
ɡ˞,1,4.610419548178884e-4,7.682021510826875
ɡˡ,1,4.610419548178884e-4,7.682021510826875
ɡ̊,6,0.0027662517289073307,5.890262041598819
ɡ̊ʰ,1,4.610419548178884e-4,7.682021510826875
ɡ̊ʷ,2,9.220839096357768e-4,6.988874330266929
ɡ̊ː,1,4.610419548178884e-4,7.682021510826875
ɡ̤,23,0.010603964960811434,4.546527294897724
ɡ̤ǀ,1,4.610419548178884e-4,7.682021510826875
ɡ̤ǀ͓,1,4.610419548178884e-4,7.682021510826875
ɡ̤ǁ,1,4.610419548178884e-4,7.682021510826875
ɡ̤ǂ,1,4.610419548178884e-4,7.682021510826875
ɡ̤ǂ͓ˡ,1,4.610419548178884e-4,7.682021510826875
ɡ̤ǃ,3,0.0013831258644536654,6.583409222158765
ɡ̤ʷ,3,0.0013831258644536654,6.583409222158765
ɡ̰,2,9.220839096357768e-4,6.988874330266929
ɡ̰ǀ͓x,1,4.610419548178884e-4,7.682021510826875
ɡ̰ǂx,1,4.610419548178884e-4,7.682021510826875
ɡ̰ǂ͓ˡx,1,4.610419548178884e-4,7.682021510826875
ɡ̰ǃx,1,4.610419548178884e-4,7.682021510826875
ɡᶣ,2,9.220839096357768e-4,6.988874330266929
ɡ‼,1,4.610419548178884e-4,7.682021510826875
ɡ‼x,1,4.610419548178884e-4,7.682021510826875
ɡ‼xʼ,1,4.610419548178884e-4,7.682021510826875
ɡ‼ʱ,1,4.610419548178884e-4,7.682021510826875
ɡⁿ,1,4.610419548178884e-4,7.682021510826875
ɢ,31,0.01429230059935454,4.2480343063417285
ɢǀ,1,4.610419548178884e-4,7.682021510826875
ɢǀqʰ,1,4.610419548178884e-4,7.682021510826875
ɢǁ,1,4.610419548178884e-4,7.682021510826875
ɢǁqʰ,1,4.610419548178884e-4,7.682021510826875
ɢǂ,1,4.610419548178884e-4,7.682021510826875
ɢǃ,1,4.610419548178884e-4,7.682021510826875
ɢǃqʰ,1,4.610419548178884e-4,7.682021510826875
ɢʁ,1,4.610419548178884e-4,7.682021510826875
ɢʘ,1,4.610419548178884e-4,7.682021510826875
ɢʱ,1,4.610419548178884e-4,7.682021510826875
ɢʷ,7,0.003227293683725219,5.736111361771561
ɢʷˤ,1,4.610419548178884e-4,7.682021510826875
ɢˤ,1,4.610419548178884e-4,7.682021510826875
ɢ̥,2,9.220839096357768e-4,6.988874330266929
ɣ,299,0.13785154449054865,1.981577937436188
ɣv,1,4.610419548178884e-4,7.682021510826875
ɣʲ,3,0.0013831258644536654,6.583409222158765
ɣʷ,18,0.008298755186721992,4.791649752930709
ɣˀ,1,4.610419548178884e-4,7.682021510826875
ɣː,1,4.610419548178884e-4,7.682021510826875
ɣ̊,1,4.610419548178884e-4,7.682021510826875
ɣ̤,1,4.610419548178884e-4,7.682021510826875
ɣ̰,1,4.610419548178884e-4,7.682021510826875
ɤ,48,0.022130013831258646,3.8108204999189836
ɤi,2,9.220839096357768e-4,6.988874330266929
